Summary,Issue Type,Priority,Epic Name,Sprint,Assignee,Original Estimate,Labels,Description
"Accessibility improvements",Story,Medium,Frontend Development,Sprint 4,,6h,tech-debt,"Improve accessibility compliance. Files: /website/src/components/**/*.jsx. Acceptance Criteria: ARIA labels; Keyboard navigation; Focus management; Color contrast"
"E2E tests with Playwright",Story,Medium,Frontend Development,Sprint 4,,8h,tech-debt,"Set up Playwright and write E2E tests. Files: /website/e2e/*.spec.ts. Acceptance Criteria: Playwright configured; Login flow test; CI integration"
"Set up ML project structure",Story,Highest,Quant/ML Engine,Sprint 1,,4h,,"Create the ML project structure. Files: /ml/. Acceptance Criteria: Python environment; Directory structure; Integration points defined"
"Implement real sentiment analysis",Story,Highest,Quant/ML Engine,Sprint 1,,12h,critical-path,"Replace keyword counting with real NLP sentiment analysis. Files: /ml/models/sentiment.py. Acceptance Criteria: VADER or TextBlob; >70% accuracy; Integration with Go analyzer"
"Implement named entity recognition",Story,Highest,Quant/ML Engine,Sprint 2,,8h,,"Extract entities from articles. Files: /ml/models/ner.py. Acceptance Criteria: spaCy NER; Extract PERSON, ORG, EVENT; JSON output"
"Build basic price prediction model",Story,Highest,Quant/ML Engine,Sprint 2,,16h,critical-path,"Create first version of price prediction model. Files: /ml/models/price_predictor.py. Acceptance Criteria: Features: price, volume, sentiment; >55% directional accuracy; Inference <100ms"
"Market correlation matrix",Story,High,Quant/ML Engine,Sprint 3,,6h,,"Calculate correlations between markets. Files: /ml/features/correlation.py. Acceptance Criteria: Pearson correlation; Rolling windows; Daily recalculation"
"Time series forecasting",Story,High,Quant/ML Engine,Sprint 3,,12h,,"Implement time series forecasting. Files: /ml/models/timeseries.py. Acceptance Criteria: Prophet or ARIMA; Forecast horizons: 1h, 4h, 24h, 7d; Confidence intervals"
"Volatility estimation",Story,High,Quant/ML Engine,Sprint 3,,8h,,"Calculate realized and implied volatility. Files: /ml/features/volatility.py. Acceptance Criteria: Realized volatility; GARCH model; Integration with Greeks"
"Ensemble model combining signals",Story,Medium,Quant/ML Engine,Sprint 4,,8h,,"Combine multiple models into ensemble. Files: /ml/models/ensemble.py. Acceptance Criteria: Weighted average; Dynamic weight adjustment; A/B testing framework"
"Model evaluation and metrics dashboard",Story,High,Quant/ML Engine,Sprint 4,,4h,,"Create evaluation pipeline. Files: /ml/evaluation/metrics.py. Acceptance Criteria: Accuracy, precision, recall, F1; Brier score; Calibration plots"
"Design TimescaleDB schema for price data",Story,Highest,Data & Visualization,Sprint 1,,4h,critical-path,"Design optimal schema for storing market price history. Files: /db/migrations/003_price_data.sql. Acceptance Criteria: Hypertable; Efficient OHLC queries; Retention policy"
"Build price ingestion pipeline",Story,Highest,Data & Visualization,Sprint 1,,8h,critical-path,"Create pipeline to ingest prices from Polymarket and Kalshi. Files: /data/pipelines/price_ingestion.py. Acceptance Criteria: Fetch every 5 minutes; Handle rate limits; Data quality checks"
"Implement candlestick charts",Story,Highest,Data & Visualization,Sprint 2,,6h,,"Add OHLC candlestick chart visualization. Files: /website/src/components/CandlestickChart.jsx. Acceptance Criteria: Candlestick rendering; Time aggregation; Volume bars"
"Add chart interactivity",Story,Highest,Data & Visualization,Sprint 2,,6h,,"Add zoom, pan, and tooltip interactions. Files: /website/src/components/PriceChart.jsx. Acceptance Criteria: Mouse wheel zoom; Click and drag pan; Tooltip on hover; Touch support"
"Volume profile / depth chart",Story,High,Data & Visualization,Sprint 3,,8h,,"Implement volume profile and order book depth visualization. Files: /website/src/components/DepthChart.jsx. Acceptance Criteria: Bid/ask depth; Volume at price histogram; Real-time updates"
"Heat map for market correlations",Story,High,Data & Visualization,Sprint 3,,6h,,"Visualize correlation matrix as interactive heatmap. Files: /website/src/components/CorrelationHeatmap.jsx. Acceptance Criteria: Color scale; Click for details; Filter by category"
"Add chart indicators (MA, RSI, Bollinger)",Story,High,Data & Visualization,Sprint 3,,10h,,"Implement technical indicators overlay. Files: /website/src/utils/indicators.js. Acceptance Criteria: Moving averages; RSI; Bollinger Bands; Indicator toggle UI"
"Real-time WebSocket for all watched markets",Story,High,Data & Visualization,Sprint 4,,8h,integration,"Extend WebSocket to stream prices for all markets. Files: /website/src/services/polymarketWebSocket.js. Acceptance Criteria: Subscribe to multiple markets; Efficient batching; Reconnection handling"
"Performance monitoring dashboard",Story,Medium,Data & Visualization,Sprint 4,,6h,,"Create dashboard to monitor system performance. Files: /website/src/components/panels/PerformanceDashboard.jsx. Acceptance Criteria: API response times; WebSocket latency; Data freshness; Error rates"
